CMDLINE /home/dju/miniconda3/envs/retrisound/bin/python test.py
MEM 14960.316406 1721051352.4273
MEM 15045.410156 1721051352.5277
MEM 15137.531250 1721051352.6280
MEM 15217.453125 1721051352.7284
MEM 15315.167969 1721051352.8287
MEM 15400.097656 1721051352.9292
MEM 15499.812500 1721051353.0297
MEM 15499.812500 1721051353.1301
MEM 15499.812500 1721051353.2304
MEM 15499.812500 1721051353.3308
MEM 15499.812500 1721051353.4311
MEM 15518.207031 1721051353.5315
MEM 15518.207031 1721051353.6319
MEM 15598.906250 1721051353.7323
MEM 15681.453125 1721051353.8327
MEM 15762.359375 1721051353.9331
MEM 15873.964844 1721051354.0335
MEM 15952.089844 1721051354.1339
MEM 16034.875000 1721051354.2341
MEM 16120.296875 1721051354.3346
MEM 16203.304688 1721051354.4350
MEM 16270.570312 1721051354.5356
MEM 16401.242188 1721051354.6360
MEM 16481.320312 1721051354.7364
MEM 16569.023438 1721051354.8368
MEM 16650.527344 1721051354.9373
MEM 16776.058594 1721051355.0376
MEM 16856.042969 1721051355.1382
MEM 16943.066406 1721051355.2386
MEM 17021.378906 1721051355.3390
MEM 17106.496094 1721051355.4394
MEM 17197.457031 1721051355.5398
MEM 17280.203125 1721051355.6402
MEM 17369.531250 1721051355.7406
MEM 17452.472656 1721051355.8410
MEM 17523.378906 1721051355.9414
MEM 17644.789062 1721051356.0419
MEM 17732.125000 1721051356.1422
MEM 17819.164062 1721051356.2426
MEM 17907.960938 1721051356.3430
MEM 18028.457031 1721051356.4434
MEM 18104.117188 1721051356.5439
MEM 18189.726562 1721051356.6443
MEM 18296.046875 1721051356.7446
MEM 18394.800781 1721051356.8451
MEM 18479.578125 1721051356.9454
MEM 18565.410156 1721051357.0459
MEM 18640.406250 1721051357.1462
MEM 18712.015625 1721051357.2466
MEM 18764.152344 1721051357.3470
MEM 18874.304688 1721051357.4473
MEM 18969.480469 1721051357.5477
MEM 19055.050781 1721051357.6483
MEM 19142.441406 1721051357.7487
MEM 19266.417969 1721051357.8491
MEM 19352.953125 1721051357.9495
MEM 19441.328125 1721051358.0500
MEM 19569.640625 1721051358.1504
MEM 19655.269531 1721051358.2509
MEM 19742.777344 1721051358.3512
MEM 19831.277344 1721051358.4517
MEM 19880.734375 1721051358.5521
MEM 19953.988281 1721051358.6525
MEM 20038.570312 1721051358.7529
MEM 20156.835938 1721051358.8533
